protein,freq,pdbid,study,study_type,study_name
NFKB1,8,1MDI,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
BRCA1,8,1JM7,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
TERT,8,2BCK,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
CDK12,8,4CXA,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
HSP90AA1,7,1BYQ,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
BAP1,7,,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
ETV6,7,1JI7,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
PTEN,7,1D5R,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
WAS,7,1CEE,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
PIK3CG,7,1E8Y,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
TSC1,7,4Z6Y,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
NOTCH4,7,,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
EPHA8,7,1UCV,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
CDKN2A,7,1A5E,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
PTPRD,6,1X5Z,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
ALK,6,2KUP,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
DICER1,6,2EB1,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
PTPRT,6,2OOQ,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
ERBB4,6,2AHX,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
APC,6,1DEB,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
GLI3,6,4BLD,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
WNK1,6,4PWN,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
MTOR,5,1AUE,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
ARID2,5,,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
EPHA2,5,1MQB,blca_mskcc_solit_2014,bladder,"Bladder Cancer (MSKCC, Eur Urol 2014)"
CDH1,30,1O6S,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
TP53,25,1A1U,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
TERT,12,2BCK,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
RB1,11,1AD6,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
CDKN1A,10,1AXC,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
ARID1A,9,1RYU,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
KMT2D,8,3UVK,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
PIK3CA,8,2ENQ,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
PIK3R1,8,1A0N,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
FAT1,7,,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
TET1,6,,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
SMARCA4,6,2GRC,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
ERBB3,6,1M6B,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
KMT2C,6,2YSM,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
NF1,5,1NF1,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
KEAP1,5,1U6D,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
KMT2A,5,2AGH,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
ERCC2,5,5IVW,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
BAP1,5,,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
MTOR,5,1AUE,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
ERBB2,5,1MFG,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
ATR,5,,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
CDKN2A,4,1A5E,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
CDK8,4,3RGF,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
NOTCH4,4,,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
EPHB1,4,2DJS,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
MCL1,3,2KBW,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
ASXL1,3,,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
AR,3,1E3G,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
DICER1,3,2EB1,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
PBRM1,3,2KTB,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
KIT,3,1PKG,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
PTPRT,3,2OOQ,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
BRCA1,3,1JM7,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
YAP1,3,1JMQ,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
PALB2,3,2W18,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
EP300,3,1L3E,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
PTPRD,3,1X5Z,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
NOTCH1,3,1PB5,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
MPL,3,,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
STAG2,3,4PJU,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
NTRK2,3,1HCF,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
IRS2,3,3FQW,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
FAT4,3,,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
PTEN,3,1D5R,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
IKBKE,3,,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
NOTCH2,3,2OO4,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
NRAS,3,2N9C,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
RAD50,3,,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
PIK3C2G,3,2WWE,blca_plasmacytoid_mskcc_2016,bladder,"Bladder Cancer, Plasmacytoid Variant"
TTN,167,1BPV,blca_tcga,bladder,Bladder Urothelial Carcinoma
MUC16,80,,blca_tcga,bladder,Bladder Urothelial Carcinoma
TP53,76,1A1U,blca_tcga,bladder,Bladder Urothelial Carcinoma
KMT2D,45,3UVK,blca_tcga,bladder,Bladder Urothelial Carcinoma
SPTAN1,43,2FOT,blca_tcga,bladder,Bladder Urothelial Carcinoma
ARID1A,42,1RYU,blca_tcga,bladder,Bladder Urothelial Carcinoma
FAT4,40,,blca_tcga,bladder,Bladder Urothelial Carcinoma
SYNE1,38,4DXR,blca_tcga,bladder,Bladder Urothelial Carcinoma
FLG,37,4PCW,blca_tcga,bladder,Bladder Urothelial Carcinoma
KDM6A,34,3AVR,blca_tcga,bladder,Bladder Urothelial Carcinoma
KMT2C,33,2YSM,blca_tcga,bladder,Bladder Urothelial Carcinoma
HMCN1,32,,blca_tcga,bladder,Bladder Urothelial Carcinoma
PDE4DIP,30,,blca_tcga,bladder,Bladder Urothelial Carcinoma
MACF1,30,4Z6G,blca_tcga,bladder,Bladder Urothelial Carcinoma
BIRC6,30,3CEG,blca_tcga,bladder,Bladder Urothelial Carcinoma
AHNAK,30,4DRW,blca_tcga,bladder,Bladder Urothelial Carcinoma
EP300,29,1L3E,blca_tcga,bladder,Bladder Urothelial Carcinoma
CSMD3,28,,blca_tcga,bladder,Bladder Urothelial Carcinoma
PIK3CA,27,2ENQ,blca_tcga,bladder,Bladder Urothelial Carcinoma
DNAH3,27,,blca_tcga,bladder,Bladder Urothelial Carcinoma
RYR2,26,4JKQ,blca_tcga,bladder,Bladder Urothelial Carcinoma
MUC17,26,,blca_tcga,bladder,Bladder Urothelial Carcinoma
SYNE2,26,4DXS,blca_tcga,bladder,Bladder Urothelial Carcinoma
DNAH10,24,,blca_tcga,bladder,Bladder Urothelial Carcinoma
KMT2A,24,2AGH,blca_tcga,bladder,Bladder Urothelial Carcinoma
GPR98,24,,blca_tcga,bladder,Bladder Urothelial Carcinoma
DNAH5,24,,blca_tcga,bladder,Bladder Urothelial Carcinoma
FGFR3,24,1RY7,blca_tcga,bladder,Bladder Urothelial Carcinoma
VPS13D,24,,blca_tcga,bladder,Bladder Urothelial Carcinoma
ZFHX4,24,,blca_tcga,bladder,Bladder Urothelial Carcinoma
PKHD1L1,23,,blca_tcga,bladder,Bladder Urothelial Carcinoma
PLEC,23,1MB8,blca_tcga,bladder,Bladder Urothelial Carcinoma
ATM,23,,blca_tcga,bladder,Bladder Urothelial Carcinoma
LYST,23,,blca_tcga,bladder,Bladder Urothelial Carcinoma
AHNAK2,23,4CN0,blca_tcga,bladder,Bladder Urothelial Carcinoma
LRP1B,23,,blca_tcga,bladder,Bladder Urothelial Carcinoma
UBR4,22,,blca_tcga,bladder,Bladder Urothelial Carcinoma
CREBBP,21,1JSP,blca_tcga,bladder,Bladder Urothelial Carcinoma
DNAH11,21,,blca_tcga,bladder,Bladder Urothelial Carcinoma
SACS,21,1IUR,blca_tcga,bladder,Bladder Urothelial Carcinoma
KIAA0100,21,,blca_tcga,bladder,Bladder Urothelial Carcinoma
ABCA13,20,,blca_tcga,bladder,Bladder Urothelial Carcinoma
RYR3,20,4ERV,blca_tcga,bladder,Bladder Urothelial Carcinoma
DOT1L,20,1NW3,blca_tcga,bladder,Bladder Urothelial Carcinoma
ADAMTS12,20,,blca_tcga,bladder,Bladder Urothelial Carcinoma
TCHH,19,,blca_tcga,bladder,Bladder Urothelial Carcinoma
CELSR3,19,,blca_tcga,bladder,Bladder Urothelial Carcinoma
HERC1,19,4O2W,blca_tcga,bladder,Bladder Urothelial Carcinoma
OBSCN,19,1V1C,blca_tcga,bladder,Bladder Urothelial Carcinoma
NEB,19,1ARK,blca_tcga,bladder,Bladder Urothelial Carcinoma
TTN,167,1BPV,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
MUC16,80,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
TP53,76,1A1U,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
KMT2D,44,3UVK,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
SPTAN1,43,2FOT,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
ARID1A,41,1RYU,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
FLG,40,4PCW,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
FAT4,39,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
SYNE1,38,4DXR,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
KDM6A,34,3AVR,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
KMT2C,34,2YSM,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
AHNAK,32,4DRW,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
HMCN1,32,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
MACF1,30,4Z6G,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
PDE4DIP,30,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
BIRC6,29,3CEG,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
NBPF10,28,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
EP300,28,1L3E,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
DNAH3,27,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
PIK3CA,27,2ENQ,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
CSMD3,27,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
SYNE2,27,4DXS,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
RYR2,26,4JKQ,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
MUC17,26,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
ZFHX4,25,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
AHNAK2,25,4CN0,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
GPR98,24,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
FGFR3,24,1RY7,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
DNAH10,24,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
LRP1B,24,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
KMT2A,24,2AGH,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
PLEC,23,1MB8,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
LYST,23,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
VPS13D,23,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
DNAH5,23,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
ATM,23,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
PKHD1L1,23,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
UBR4,22,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
SACS,22,1IUR,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
KIAA0100,22,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
ABCA13,20,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
SRRM2,20,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
CREBBP,20,1JSP,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
DNAH11,20,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
DOT1L,20,1NW3,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
NEB,19,1ARK,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
FAT1,19,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
MYH9,19,2LNK,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
OBSCN,19,1V1C,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
LAMA3,19,,blca_tcga_pub,bladder,Bladder Urothelial Carcinoma
TP53,35,1A1U,brca_bccrc,breast,Breast Invasive Carcinoma
TNS3,14,,brca_bccrc,breast,Breast Invasive Carcinoma
ARHGAP5,7,2EE4,brca_bccrc,breast,Breast Invasive Carcinoma
USH2A,7,,brca_bccrc,breast,Breast Invasive Carcinoma
PIK3CA,7,2ENQ,brca_bccrc,breast,Breast Invasive Carcinoma
MYO3A,6,,brca_bccrc,breast,Breast Invasive Carcinoma
PTEN,6,1D5R,brca_bccrc,breast,Breast Invasive Carcinoma
PCDHA10,5,,brca_bccrc,breast,Breast Invasive Carcinoma
ATR,5,,brca_bccrc,breast,Breast Invasive Carcinoma
PPFIBP2,5,3QH9,brca_bccrc,breast,Breast Invasive Carcinoma
SYNE1,4,4DXR,brca_bccrc,breast,Breast Invasive Carcinoma
UBR5,4,1I2T,brca_bccrc,breast,Breast Invasive Carcinoma
RB1,4,1AD6,brca_bccrc,breast,Breast Invasive Carcinoma
UBAP2L,4,,brca_bccrc,breast,Breast Invasive Carcinoma
TTN,4,1BPV,brca_bccrc,breast,Breast Invasive Carcinoma
HECW1,4,3L4H,brca_bccrc,breast,Breast Invasive Carcinoma
LRP2,4,2M0P,brca_bccrc,breast,Breast Invasive Carcinoma
ZNF142,4,,brca_bccrc,breast,Breast Invasive Carcinoma
GPR112,4,,brca_bccrc,breast,Breast Invasive Carcinoma
COL6A3,4,1KNT,brca_bccrc,breast,Breast Invasive Carcinoma
MDN1,4,,brca_bccrc,breast,Breast Invasive Carcinoma
PALLD,3,2DM2,brca_bccrc,breast,Breast Invasive Carcinoma
BRCA2,3,1N0W,brca_bccrc,breast,Breast Invasive Carcinoma
DOCK7,3,,brca_bccrc,breast,Breast Invasive Carcinoma
KIAA0556,3,,brca_bccrc,breast,Breast Invasive Carcinoma
SPHKAP,3,,brca_bccrc,breast,Breast Invasive Carcinoma
MACF1,3,4Z6G,brca_bccrc,breast,Breast Invasive Carcinoma
ERBB2,3,1MFG,brca_bccrc,breast,Breast Invasive Carcinoma
DLG5,3,1UIT,brca_bccrc,breast,Breast Invasive Carcinoma
FLT3,3,1RJB,brca_bccrc,breast,Breast Invasive Carcinoma
FMN2,3,2YLE,brca_bccrc,breast,Breast Invasive Carcinoma
GH1,3,1A22,brca_bccrc,breast,Breast Invasive Carcinoma
SMG5,3,2HWY,brca_bccrc,breast,Breast Invasive Carcinoma
MUC17,3,,brca_bccrc,breast,Breast Invasive Carcinoma
DNAH5,3,,brca_bccrc,breast,Breast Invasive Carcinoma
TSHZ3,3,2DMI,brca_bccrc,breast,Breast Invasive Carcinoma
LAMA2,3,4YEP,brca_bccrc,breast,Breast Invasive Carcinoma
MYH2,3,,brca_bccrc,breast,Breast Invasive Carcinoma
TDO2,3,4PW8,brca_bccrc,breast,Breast Invasive Carcinoma
PKD1L1,3,,brca_bccrc,breast,Breast Invasive Carcinoma
CEP192,3,4N7Z,brca_bccrc,breast,Breast Invasive Carcinoma
FAM208B,3,,brca_bccrc,breast,Breast Invasive Carcinoma
SYNE2,3,4DXS,brca_bccrc,breast,Breast Invasive Carcinoma
XRN1,3,,brca_bccrc,breast,Breast Invasive Carcinoma
HRNR,3,,brca_bccrc,breast,Breast Invasive Carcinoma
RALGAPA1,3,,brca_bccrc,breast,Breast Invasive Carcinoma
